title,author,genre,year,price
The Forgotten Realm 301,T. Black,Adventure,1990,10.24
The Forgotten Realm 504,N. Rivers,Fantasy,2018,17.71
The Forgotten Realm 647,J. Storm,Mystery,1989,14.73
The Forgotten Realm 719,T. Black,Space Opera,2025,47.0
The Forgotten Realm 930,C. Morgan,Adventure,1976,2.68
The Forgotten Realm 99,M. Frost,Romance,2001,20.35
The Forgotten Realm 993,M. Frost,Fantasy,1966,37.9
The Fractured Moon 259,N. Rivers,Sci-Fi,1995,15.55
The Fractured Moon 32,J. Storm,Horror,1952,45.1
The Fractured Moon 626,H. Drake,Fantasy,1953,9.9
The Fractured Moon 786,M. Frost,Horror,2021,35.82
The Hollow Crown 140,L. Raynor,Adventure,1997,23.51
The Hollow Crown 327,M. Frost,Mystery,1969,18.32
The Hollow Crown 358,M. Frost,Fantasy,1975,28.62
The Hollow Crown 584,L. Raynor,Space Opera,2009,20.41
The Hollow Crown 618,H. Drake,Fantasy,1984,9.61
The Hollow Crown 747,A. Winters,Fantasy,1996,30.25
The Hollow Crown 800,C. Morgan,Sci-Fi,2001,2.18
The Hollow Crown 997,C. Morgan,Fantasy,1975,21.43
The Silent Forest 198,C. Morgan,Space Opera,2001,37.1
The Silent Forest 271,L. Raynor,Mystery,2001,36.49
The Silent Forest 411,J. Storm,Romance,1969,40.51
The Wandering Star 103,N. Rivers,Space Opera,2022,14.72
The Wandering Star 814,N. Rivers,Horror,2020,31.28
Uranus,samod,space,2024,10.99
Whispers of the Void 114,H. Drake,Mystery,1956,15.99
Whispers of the Void 293,T. Black,Romance,1966,4.51
Whispers of the Void 699,N. Rivers,Fantasy,1951,13.91
Whispers of the Void 712,T. Black,Horror,2023,2.45
Whispers of the Void 735,L. Raynor,Fantasy,1969,5.74
Whispers of the Void 805,H. Drake,Thriller,1992,4.01
Whispers of the Void 864,M. Frost,Adventure,2002,17.68
Whispers of the Void 939,T. Black,Horror,2016,33.56
